DegreeID, Type, Major, Minor, Honors, Graduation, AlumniID
1, BSE, COMPTRSCI, NA, Summa Cum Laude, 2013-05-22, A0000001
2, BS, COMPTRSCI, NA, None, 2013-05-22, A0000002
3, BS, COMPTRSCI, NA, None, 2013-05-22, A0000003
4, BS, COMPTRSCI, NA, None, 2013-05-22, A0000004
5, BA, COMPTRSCI, NA, None, 2013-05-22, A0000005
6, BS, LSBSCMPSCI, NA, None, 2013-05-22, A0000006
7, BSE, COMPTRSCI, NA, None, 2013-12-23, A0000007
8, BS, COMPTRSCI, NA, None, 2013-12-23, A0000008
9, BS, COMPTRSCI, NA, None, 2013-12-23, A0000009
10, BSE, COMPTRSCI, NA, None, 2013-12-23, A0000010
11, BS, SFBSCMPSCI, NA, None, 2013-12-23, A0000011
12, BS, LSBSCMPSCI, NA, Cum Laude, 2013-12-23, A0000012
13, BS, LSBSCMPSCI, NA, None, 2013-12-23, A0000013
14, BA, COMPTRSCI, NA, Magna Cum Laude, 2014-05-20, A0000014
15, BS, COMPTRSCI, NA, None, 2014-05-20, A0000015
16, BS, LSBSCMPSCI, NA, None, 2014-05-20, A0000016
17, BS, LSBSCMPSCI, NA, Summa Cum Laude, 2014-05-20, A0000017
18, BS, LSBSCMPSCI, NA, None, 2014-05-20, A0000018
19, BS, LSBSCMPSCI, NA, None, 2014-05-20, A0000019
20, BS, LSBSCMPSCI, NA, None, 2014-05-20, A0000020
21, BS, SFBSCMPSCI, NA, None, 2014-05-20, A0000021
22, BSE, COMPTRSCI, NA, Magna Cum Laude, 2014-12-23, A0000022
23, BA, COMPTRSCI, NA, None, 2014-12-23, A0000023
24, BA, COMPTRSCI, NA, None, 2014-12-23, A0000024
25, BA, COMPTRSCI, NA, None, 2014-12-23, A0000025
26, BS, LSBSCMPSCI, NA, Magna Cum Laude, 2014-12-23, A0000026
27, BS, LSBSCMPSCI, NA, None, 2014-12-23, A0000027
28, BS, LSBSCMPSCI, NA, None, 2014-12-23, A0000028
29, BS, SDCMPSCI, NA, Cum Laude, 2015-05-19, A0000029
30, BA, COMPTRSCI, NA, Summa Cum Laude, 2015-05-19, A0000030
31, BA, COMPTRSCI, NA, None, 2015-05-19, A0000031
32, BA, COMPTRSCI, NA, Cum Laude, 2015-05-19, A0000032
33, BALS, XDBACMPSCI, NA, Summa Cum Laude, 2015-05-19, A0000033
34, BS, LSBSCMPSCI, NA, None, 2015-05-19, A0000034
35, BS, LSBSCMPSCI, NA, Cum Laude, 2015-05-19, A0000035
36, BS, LSBSCMPSCI, NA, None, 2015-05-19, A0000036
37, BS, LSBSCMPSCI, NA, Summa Cum Laude, 2015-05-19, A0000037
38, BS, LSBSCMPSCI, NA, Summa Cum Laude, 2015-05-19, A0000038
39, BS, LSBSCMPSCI, NA, None, 2015-05-19, A0000039
40, BS, LSBSCMPSCI, NA, None, 2015-05-19, A0000040
41, BS, LSBSCMPSCI, NA, None, 2015-05-19, A0000041
