EmplID, Position, Starting Salary, Start Year, End Year, EmployerID
A0000001, Teacher, NA, 2013, 2019, 2
A0000002, Desktop Support and Workstation Management Technician , NA, 2013, 2019, 3
A0000004, Senior Software Engineering at PerBlue, NA, 2018, 2019, 4
A0000005, Business Analyst, NA, 2017, 2019, 5
A0000006, VP of Deep Learning Engineering, NA, 2016, 2019, 6
A0000007, Team Lead, NA, 2016, 2019, 7
A0000008, Project Manager, NA, 2008, 2019, 8
A0000010, Teacher, NA, -1, -1, 3
A0000013, System Administrator II, NA, 2017, 2019, 9
A0000014, Senior Application Developer, NA, 2014, 2019, 10
A0000016, Software Developer, NA, 2012, 2019, 11
A0000017, Full Stack Engineer, NA, 2018, 2019, 12
A0000019, Software Engineering Lead, NA, 2014, 2019, 13
A0000020, Software Engineer II, NA, 2017, 2019, 14
A0000023, Help desk analyst, NA, -1, -1, 15
A0000024, Junior Software Developer, NA, 2015, 2019, 16
A0000026, Software Engineer, NA, 2014, 2019, 17
A0000027, Senior Security Policy Analyst, NA, -1, -1, 18
A0000028, Frontend Engineer, NA, 2016, 2019, 12
A0000031, UX Designer, NA, 2018, 2019, 19
A0000032, Lead Programmer, NA, 2016, 2019, 20
A0000033, Software Developer, NA, -1, -1, 11
A0000034, Video Editor, NA, 2012, 2019, 21
A0000035, Programmer Analyst, NA, 2015, 2019, 22
A0000036, Operational Support Technician, NA, 2016, 2019, 23
A0000037, Programmer Analyst, NA, 2017, 2019, 22
A0000039, Application System Engineer, NA, 2015, 2019, 24
A0000041, Production Technician, NA, 2016, 2019, 25
A0000042, Senior Software Engineer, NA, 2017, 2019, 26
A0000043, Application Analyst, NA, 2015, 2019, 27
A0000044, Software Engineer, NA, 2015, 2019, 28
A0000046, Software Developer, NA, 2015, 2019, 29
A0000047, Technical Specialist, NA, 2017, 2019, 30
A0000049, Software Developer, NA, 2014, 2019, 31
A0000051, Operations Analyst, NA, 2016, 2019, 32
A0000052, Rego Support Specialist, NA, 2015, 2019, 33
A0000054, QA Tester, NA, 2017, 2019, 34
A0000056, Customer Experience Representative, NA, 2017, 2019, 35
A0000059, Software Engineer, NA, 2016, 2019, 36
A0000062, Software Engineer, NA, 2017, 2019, 37
A0000063, Additive Manufacturing Technician, NA, 2017, 2019, 38
A0000066, Web Developer, NA, 2017, 2019, 39
A0000067, Project Support Specialist, NA, 2014, 2019, 40
A0000068, Software Developer, NA, -1, -1, 31
A0000069, Game Programmer, NA, 2018, 2019, 41
A0000071, Applied Mathematician, NA, 2017, 2019, 42
A0000072, Supply Chain Analyst, NA, 2016, 2019, 43
A0000076, Software Developer III, NA, 2017, 2019, 44
A0000077, Solution Developer, NA, 2016, 2019, 6
A0000078, Application Developer, NA, 2017, 2019, 45
A0000079, Mainframe Programmer, NA, 2017, 2019, 46
A0000080, Associate Software Engineer, NA, 2016, 2019, 12
A0000081, Programmer/Analyst, NA, 2016, 2019, 47
A0000082, Database Analyst I, NA, 2016, 2019, 48
A0000084, Cyber Security Analyst , NA, 2018, 2019, 49
